Star,review_title,text_review,apps_category,review_length
5.0 out of 5 stars,Omg,Omg It works just like a real phone you need a plan or credits for a real phone right well here you can text free but calling cost money you start with ten credits use them wisely it made me texting friends with real phones sooooo easy I definitely recommend you get this if you don't have a phone just yet,communication,61
2.0 out of 5 stars,Ok(ish)?,"It wouldn't let me group chat or use the face cam but other than that it was alright, up until when it wouldn't accept my login details even when they were correct. I would recommend never signing yourself out unless you want to be screaming at your screen for an hour.",communication,51
1.0 out of 5 stars,Won't work,"Said it was free but wasn't. Actually doesn't work on my tablet new kindle.so no reason it shouldn't work. I was trying to set this up for my 84 year old mother who is not well to visit her only other sibling, because she's also elderly and can't travel. Oregon, Alabama. Really wanted them to be able to see each other when they chat. Is there  A mother app that is free. Thank you.",communication,74
1.0 out of 5 stars,"Skype for Kindle, a total failure! Thanks to Amazon Fire OS...","I've been using Skype for years and It's been a good experience, but not with my new Kindle Fire.I'm not sure what thebig Idea is with amazon and propietrary versions of lots of apps. They all have problems, crashing all the time and making you sorry you bought a kindle and not a Nexus or something different form another manufacturer that can download from the official Google Play Store.Skype is one of those failures, when a nice app you love just drives you crazy for the sake of Amazon's own version of Android. I'm not sure they're aware the ammount of trouble they're causing with that. They think this is the way to capture more customers, but they're totally wrong. And since I hate being forced to buy something that doesn't work, I use alternative stores, even if I can't use the Google Play Store.I updated Skype using a version I found in another store and it works perfectly. Stay away from the ""official"" kindle version, it's crap, and you'll be sorry in the end.",communication,175
1.0 out of 5 stars,"Does not work on Kindle Fire HD 8.9""","Skype (Kindle Tablet Edition) does NOT work on Kindle Fire HD 8.9"" tablet.  When you try to use it, either the app crashes or the Kindle crashes and requires reboot. Sometimes Skype connects and then crashes.  Sometimes the video or audio is one way only and then the app crashes.  I have yet to have a successful Skype call.  Skype worked FINE on the older Kindle Fire HD 7"", but not the 8.9"".  I have reinstalled twice.  PLEASE FIX THIS APP, IT WAS ONE OF THE MAIN REASONS MY MOTHER GOT THIS KINDLE AS A GIFT -- TO SKYPE HER DISTANT CHILDREN.  I am very disappointed.",communication,106
3.0 out of 5 stars,Have no idea what is for,"I had no idea I have this on my kindle Fire. I do not know how to use it, how to set it up and what to do with it, or what it for and where it cmae from. Evidently it must have came free with my purchase of a Kindle Fire, I guess. I have no idea how it got on my Kindle list. It is on my list of Kindle purchases and things I have for my kindle, but I have no idea how it got there. I did not buy it.",communication,94
5.0 out of 5 stars,Works very well-Kindle Fire 8,"Works well on my Kindle Fire 8- I only have 30 minutes long distance on my land line and my cell phone doesn't receive a signal most times while I'm at home, so having the ability to use Skype  on my Kindle fire 8 is working out very well.  have not tried the video mode because I don't have a need for it, but otherwise, as I said, it's working out well.",communication,72
3.0 out of 5 stars,I am using this App on the Kindle Amazon Fire ...,I am using this App on the Kindle Amazon Fire 10.1 Tablet and it says that i am not using the latest issue of Skype and when i click to update it take me to the Google Play Site where there is an update.The Kindle Fire Tablet is not allowing the update from Google Play and on the Amozon App Store there is no update once again.Its about time that Amazon kept up todate with Apps that require updating,communication,79
4.0 out of 5 stars,<3 it!,"I got this because I don't have a phone. It's awesome! They ask for your age, I am 11 but I have to say 18 in order to text, but it works out AWESOMELY! Why I rated it 4stars, the last 3-4 Times I've tried to get on, I wants me to log in, and I've never pressed logout, please fix, then I'll do a 5star! ILY 4 making this!",communication,70
4.0 out of 5 stars,LOVE LOVE !!!!,I love this app great app I'm 10 and i love talking to my friends on this app i have a friend who moved away and now i can see and talk to her the only reason i don't give it 5 star rating is because it has glitches other wise awesome i highly recommended this app,communication,57
